model_id,model_revision,level,task_id,successes,valid_n,protocol_lock_sha256
synthetic/model-delta,rev-d,0,0,4,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-delta,rev-d,0,1,3,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-delta,rev-d,0,2,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-delta,rev-d,0,3,2,3,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-delta,rev-d,0,4,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-epsilon,rev-e,0,0,3,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-epsilon,rev-e,0,1,3,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-epsilon,rev-e,0,2,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-epsilon,rev-e,0,3,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-epsilon,rev-e,0,4,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-gamma,rev-g,0,0,4,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-gamma,rev-g,0,1,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-gamma,rev-g,0,2,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-gamma,rev-g,0,3,2,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
synthetic/model-gamma,rev-g,0,4,1,4,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
