episode_id,step,reference_object_id,target_reference_distance_m,nearest_other_id,nearest_other_distance_m,lifted
p1,0,bowl_1,0.40,cup_1,0.35,0
p1,1,bowl_1,0.30,cup_1,0.32,1
p1,2,bowl_1,0.20,cup_1,0.25,1
p1,3,bowl_1,0.10,cup_1,0.20,1
p1,4,bowl_1,0.08,cup_1,0.18,1
p2,0,plate_2,0.35,mug_2,0.25,0
p2,1,plate_2,0.30,mug_2,0.18,1
p2,2,plate_2,0.28,mug_2,0.09,1
p2,3,plate_2,0.27,mug_2,0.08,1
p2,4,plate_2,0.26,mug_2,0.07,1
p3,0,box_3,0.45,vase_3,0.50,0
p3,1,box_3,0.40,vase_3,0.48,1
p3,2,box_3,0.30,vase_3,0.45,1
p3,3,box_3,0.25,vase_3,0.40,1
p3,4,box_3,0.20,vase_3,0.35,1
p4,0,tray_4,0.30,cup_4,0.25,0
p4,1,tray_4,0.29,cup_4,0.24,0
p4,2,tray_4,0.28,cup_4,0.23,0
