episode_id,step,relation,target_object_id,reference_object_id,official_predicate,geometric_proxy,gripper_target_contact
s1,0,On,tomato_1,bowl_1,0,0,1
s1,1,On,tomato_1,bowl_1,1,1,1
s1,2,On,tomato_1,bowl_1,1,1,0
s1,3,On,tomato_1,bowl_1,1,1,0
s2,0,On,apple_2,plate_2,0,0,1
s2,1,On,apple_2,plate_2,1,1,1
s2,2,On,apple_2,plate_2,1,1,1
s2,3,On,apple_2,plate_2,1,1,1
s3,0,In,lemon_3,basket_3,0,0,0
s3,1,In,lemon_3,basket_3,1,1,0
s3,2,In,lemon_3,basket_3,0,0,0
s3,3,In,lemon_3,basket_3,0,0,0
s4,0,On,mug_4,tray_4,0,0,0
s4,1,On,mug_4,tray_4,0,1,0
s4,2,On,mug_4,tray_4,0,1,0
s4,3,On,mug_4,tray_4,0,1,0
s5,0,On,bottle_5,shelf_5,0,0,0
s5,1,On,bottle_5,shelf_5,0,0,0
s5,2,On,bottle_5,shelf_5,0,0,0
