record_type,group_id,arm,target_contacted,target_lifted,reference_approached,relation_satisfied,success,source_kind
baseline,base01,baseline,1,1,1,1,1,synthetic_gate5_a_not_model
baseline,base02,baseline,1,1,1,1,1,synthetic_gate5_a_not_model
baseline,base03,baseline,1,1,1,0,0,synthetic_gate5_a_not_model
baseline,base04,baseline,1,1,0,0,0,synthetic_gate5_a_not_model
baseline,base05,baseline,1,1,0,0,0,synthetic_gate5_a_not_model
baseline,base06,baseline,1,1,0,0,0,synthetic_gate5_a_not_model
baseline,base07,baseline,1,0,0,0,0,synthetic_gate5_a_not_model
baseline,base08,baseline,1,0,0,0,0,synthetic_gate5_a_not_model
baseline,base09,baseline,0,0,0,0,0,synthetic_gate5_a_not_model
baseline,base10,baseline,0,0,0,0,0,synthetic_gate5_a_not_model
relation_pair,rp1,A,1,1,1,1,1,synthetic_gate5_a_not_model
relation_pair,rp1,B,1,1,0,0,0,synthetic_gate5_a_not_model
relation_pair,rp2,A,1,1,0,0,0,synthetic_gate5_a_not_model
relation_pair,rp2,B,1,1,1,1,1,synthetic_gate5_a_not_model
relation_pair,rp3,A,1,1,1,1,1,synthetic_gate5_a_not_model
relation_pair,rp3,B,1,1,1,1,1,synthetic_gate5_a_not_model
relation_pair,rp4,A,1,1,0,0,0,synthetic_gate5_a_not_model
relation_pair,rp4,B,1,1,0,0,0,synthetic_gate5_a_not_model
language_oracle,lang1,control,1,1,0,0,0,synthetic_gate5_a_not_model
language_oracle,lang1,oracle,1,1,1,1,1,synthetic_gate5_a_not_model
language_oracle,lang2,control,1,1,0,0,0,synthetic_gate5_a_not_model
language_oracle,lang2,oracle,1,1,1,1,1,synthetic_gate5_a_not_model
language_oracle,lang3,control,1,1,0,0,0,synthetic_gate5_a_not_model
language_oracle,lang3,oracle,1,1,1,1,1,synthetic_gate5_a_not_model
language_oracle,lang4,control,1,1,1,1,1,synthetic_gate5_a_not_model
language_oracle,lang4,oracle,1,1,1,1,1,synthetic_gate5_a_not_model
visual_oracle,vis1,control,0,0,0,0,0,synthetic_gate5_a_not_model
visual_oracle,vis1,oracle,1,1,1,1,1,synthetic_gate5_a_not_model
visual_oracle,vis2,control,1,1,0,0,0,synthetic_gate5_a_not_model
visual_oracle,vis2,oracle,1,1,0,0,0,synthetic_gate5_a_not_model
visual_oracle,vis3,control,1,1,0,0,0,synthetic_gate5_a_not_model
visual_oracle,vis3,oracle,1,1,0,0,0,synthetic_gate5_a_not_model
visual_oracle,vis4,control,1,1,1,1,1,synthetic_gate5_a_not_model
visual_oracle,vis4,oracle,1,1,0,0,0,synthetic_gate5_a_not_model
