record_type,group_id,arm,target_contacted,target_lifted,reference_approached,relation_satisfied,success,source_kind
baseline,bbase01,baseline,1,1,1,1,1,synthetic_gate5_b_not_model
baseline,bbase02,baseline,1,1,1,0,0,synthetic_gate5_b_not_model
baseline,bbase03,baseline,1,1,0,0,0,synthetic_gate5_b_not_model
baseline,bbase04,baseline,1,1,0,0,0,synthetic_gate5_b_not_model
baseline,bbase05,baseline,1,0,0,0,0,synthetic_gate5_b_not_model
baseline,bbase06,baseline,1,0,0,0,0,synthetic_gate5_b_not_model
baseline,bbase07,baseline,0,0,0,0,0,synthetic_gate5_b_not_model
baseline,bbase08,baseline,0,0,0,0,0,synthetic_gate5_b_not_model
relation_pair,brp1,A,1,1,1,1,1,synthetic_gate5_b_not_model
relation_pair,brp1,B,1,1,0,0,0,synthetic_gate5_b_not_model
relation_pair,brp2,A,1,1,1,1,1,synthetic_gate5_b_not_model
relation_pair,brp2,B,1,1,1,1,1,synthetic_gate5_b_not_model
relation_pair,brp3,A,1,1,0,0,0,synthetic_gate5_b_not_model
relation_pair,brp3,B,1,1,0,0,0,synthetic_gate5_b_not_model
relation_pair,brp4,A,1,1,0,0,0,synthetic_gate5_b_not_model
relation_pair,brp4,B,1,1,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang1,control,1,1,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang1,oracle,1,1,1,1,1,synthetic_gate5_b_not_model
language_oracle,blang2,control,1,1,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang2,oracle,1,1,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang3,control,0,0,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang3,oracle,1,0,0,0,0,synthetic_gate5_b_not_model
language_oracle,blang4,control,1,1,1,1,1,synthetic_gate5_b_not_model
language_oracle,blang4,oracle,1,1,1,1,1,synthetic_gate5_b_not_model
visual_oracle,bvis1,control,0,0,0,0,0,synthetic_gate5_b_not_model
visual_oracle,bvis1,oracle,1,1,1,1,1,synthetic_gate5_b_not_model
visual_oracle,bvis2,control,1,1,0,0,0,synthetic_gate5_b_not_model
visual_oracle,bvis2,oracle,1,1,0,0,0,synthetic_gate5_b_not_model
visual_oracle,bvis3,control,1,0,0,0,0,synthetic_gate5_b_not_model
visual_oracle,bvis3,oracle,1,1,0,0,0,synthetic_gate5_b_not_model
visual_oracle,bvis4,control,1,1,1,1,1,synthetic_gate5_b_not_model
visual_oracle,bvis4,oracle,1,1,1,1,1,synthetic_gate5_b_not_model
